,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,marker
389,6,,0.6461456380124174,0.6024413220201347,0.5492984735808553,,1.5276743539542355,,0.3296074596058345,1.4989331793407155,0.32305405188289826,1.4319167009184872,0.5743005980188217,0.3437573046478288,0.26731598961015074,1.8411898452020337,0.5131362913583544,0.4635463715009294,1.0801509840125207,1.2640202091255275,0.8492187694891435,,1.589783864162325,,0.4113916919932318,0.3085603684993039,0.8423062665084152,0.9538633762092452,0.19751422160276147,0.7233242306579664,1.670302385021832,0.5273260706748913,0.7174330246759244,,0.5960659687676038,1.0,,1.3595276615649452,0.46948600290921916,0.5802694529244156,0.24706993704243965,0.34341093518975213,,0.7428116923273751,0.2224381043750817,0.5113370335441977,0.13306705140987551,0.27651808182241305,0.8853293881788593,1.6028944771223115,0.3977102378617352,0.49302797483649696,,,0.4242214605616747,,1.465717847963676,0.39549420557402976,,0.210735237964414,0.3906823374511564,,0.8927598366548486,,0.59213005204202,0.10512683988641824,0.10889680459166846,,0.29592027139025373,0.32203393817351106,0.32196086850795724,0.7432633612906858,0.2870731348945117,0.6603091740956194,,0.681721559074214,0.29232947507111856,0.4482135050064783,0.0,0.7407124254108601,,,,0.3546612880260048,,0.5986723987505402,,0.7731574042325363,0.9601579577008889,,0.5552134925258447,0.25634777367758443,0.7113327452249038,1.59031265828082,0.5079597335623959,0.10886045417390172,0.1789324966789962,0.4306428497149505,0.5617817601646788,,0.5529406210815799,56,56,mde-OM1-4,Engine,mde,
339,37,,0.6020091836193795,0.0,0.764826718165739,,1.25779212897367,,0.5878265885807075,1.350052473651476,0.727654696851565,1.5659586869980715,0.46454916826548753,0.4777513030683419,0.49642301046200576,1.8309092974823922,0.6145199568193545,0.4731612091092123,1.8452441811250848,1.5228730634625842,0.30813392900490005,,,0.13817139261233388,0.43146189616823966,0.4884217397813795,,0.4355926557086962,0.3216126065066377,0.9245565248773862,1.4840028764548852,,0.5424934751764974,,0.16320354162798364,0.5156938375761442,,1.6340894593622646,0.2575471970195543,0.3189684367596996,0.13604148048689596,0.11044804120505111,,0.37635196908582585,0.11134856049173833,0.7136144802507238,0.5431719922593539,0.6893733773449119,0.7506857277213316,0.7430484848450022,0.2885262902031923,0.884096243880483,0.31763528246423045,,0.5922022508946938,0.5055980148512091,1.661320389439688,0.4915077767310765,0.1670392321264612,0.30090295037628,,,0.541726950083136,,,0.4294626266022907,0.6873708435139311,,,0.42795089548937043,0.14463763541783833,,0.7137099619079358,0.4344515071179952,,0.6680770418079276,0.6990059739805023,0.4335612755898698,0.3951323305696546,0.15795232035918896,1.5458851891315368,,,0.5940671989933157,,0.8178289533052405,,0.4848244848295201,0.7533940778243604,0.6003078669762335,0.6266837096414493,0.18430668481336066,0.42451887384041886,1.624426809901177,0.6990545517182138,0.3944883425517756,0.07143834565363193,0.5823340240607725,0.2878911691983936,0.44518018409541477,0.41611185497225534,51,51,mde-OM1-3,Engine,mde,
764,23,,1.6663721367700157,0.8127947427704137,0.9186480648546568,,1.4799960382275,0.612871659169219,1.8234832200989461,1.7225921324937215,0.4341503632435489,1.327701699740326,0.675807018822928,1.5341542698042834,0.39682274401799666,1.4208395203883686,,0.24499361291523594,1.3777508568241268,,0.5490254387008798,,1.6292438995771665,0.42280458419266526,0.35438329827625376,0.8669499918646054,0.41517748949970185,,0.4707518560397962,2.60942782450136,1.410978692003416,,0.3860077582067827,,0.40550016911303743,0.3843779921334951,,1.6653709483595747,0.43081531159793235,0.603757046332543,0.5508637434034186,0.4253391775961447,,,0.6147781582507384,,1.4721058409404613,0.49528922609621856,0.3627485401680832,1.5001468629473305,0.12821486655303657,,0.4161179422777703,0.5399993499242688,1.6114978475893382,,1.195527311492556,,0.7174881143962709,0.4569845192337447,0.29457811565740266,0.3356214475664438,0.44707393421130565,,0.47694216335791045,0.43696843461934404,,,0.5580231755184294,0.5549466061538244,0.3158073145907991,0.5230211311081572,0.3287932813744768,0.3005329752011059,0.6984138944114278,,1.4454697539496313,0.4852775889920063,0.3725707285271642,0.3364707609778897,2.2139665888416564,0.2834388089480577,3.258030272594231,0.45308950273384313,,0.47236912184388297,0.5303232459941608,0.20878214693344332,1.6499575232893817,0.3130967936785173,0.4675015939844013,0.6364224872066805,0.5489846341127893,1.288140611176981,0.4673706501594462,,,0.5968399341596947,1.3238549907071875,0.892169347855516,0.5158919832491907,80,80,mde-OM3-13,Engine,mde,
222,11,,,,0.6964042739777481,,1.0,0.5083570030160113,,0.4719654004892995,0.5576438857834213,1.0,0.7095704769526173,,0.24361033341290603,0.3757379312799893,0.7494111304036387,,,1.4530601292926197,0.9534076555283004,0.3527279029441757,1.6571578755445495,1.0,,0.2602754543860819,0.6346259564043529,,0.1470135202245026,0.19315172386721755,1.9489975732020424,0.2796600171762905,,0.22147539599169258,0.6841416270082649,0.3828904675268884,1.633361288050776,,0.7358841877950361,0.325807376354397,,0.6690070247192799,0.40797617922055707,0.11753249431525936,0.8957035859458071,0.6918353888925807,0.4994583301220759,0.19722119595376894,,,0.7801536952469476,0.8473802461907722,,0.24477275032118664,0.8517788300927174,,1.5466839776266421,0.044278474498356306,,0.008686763559362858,,0.0,,0.7994586045780566,0.7666941005048539,,,0.8299088693541311,,,0.7125725797898143,,0.886863312879095,0.3873595971467927,,0.6811739176420111,0.4794815223653367,1.0,1.0,0.3653281507328778,1.3068240771142192,0.04401152038228553,1.0,,0.8127516145757601,0.35141953621725713,0.0,0.7071881204168309,0.5319370184589407,0.8287231147317521,0.5707130614835753,0.6743935966168904,0.16975123004940404,0.0,,,0.3356173457257763,0.8194797551595351,0.8346904739277163,0.0,0.7077639984903397,48,48,hde-OM2-6,Engine,hde,
775,34,,1.3842757383911795,0.5476106499623564,0.5424813024655466,,1.495384872890326,0.29038363935598177,1.447352549606568,1.2170495086677455,0.35473406822970255,1.3528513099088593,0.5251030533353132,1.6182497966897604,0.9010922765194566,1.6756732964359295,,0.15643000735984727,1.7502918495927493,,0.5327605434260421,,1.3747054582462634,0.7224699410745936,0.03304585548036679,0.8797740534738951,,,0.6413047446143444,,1.6037039646808569,,0.5409121743398952,,,0.6585470380542787,,1.9356274465393988,0.43115178554034916,0.7821170334695883,0.2471107644283276,0.9409782456805865,,,0.638269284558661,,1.4158551864922218,0.6675497683462823,0.6117748204434776,1.3452536836178546,0.5109151741180538,,0.4881515908408044,0.693525037812382,1.758724999083685,0.22014876733638697,1.6231722194519196,,0.6539879703316672,0.31969889491257625,0.1990935906897294,0.5746173687229013,0.6490341150954435,,0.5324384844169042,0.40703417342293374,,,0.5727384676990622,,0.602279687691631,0.7001038946005281,0.46214074774868474,0.3480663917340238,0.44235306874796104,,1.7325192011649277,0.6105912860111461,0.20993554812813897,0.2829578997354837,2.547586538289202,0.5796709210939605,3.0884899320247077,0.4733860395801421,,0.4137750303943695,0.3834490890241642,0.5146929910111566,1.0,0.6456900456259936,0.7705204602788368,0.0643029264945533,0.29531984064460715,1.659774570100602,0.5301846741364272,,0.7696729071431999,0.3304862452750392,1.9071500319811636,,0.5864504135847359,46,46,mde-OM3-13,Engine,mde,
17,7,0.5215489552886108,,0.34618429466379846,0.28713066977505625,,0.4589069732531857,,,0.5498440295475131,0.9449284632439086,0.2061503034497448,,0.40645268552107044,0.3528436670828529,0.8416165362024195,0.5018633125355374,0.0,0.0,0.2669464627264674,,0.7401961122787887,1.4136976164373272,0.44145941400217015,0.0,0.8583061978248485,,,0.5173697951734585,0.5551003148620219,0.7164137836094713,0.5478274816069335,0.600201353765608,0.036029875237731566,0.0020366810265524168,,,0.9956798825182898,0.3446870520434058,0.23765501974973424,0.458531494388775,0.10246880793962672,0.6118002433511582,0.6368675547054679,0.4323481752915855,0.4789184188141723,0.42660611559886524,0.5073049192544903,0.38703518446125235,,,0.4479536437653433,0.356390568827017,0.27652108089771626,0.24135007247793946,,1.354749143457051,1.0,,0.4908938935091667,,0.10630992715757674,,0.3122411611111068,0.1556096584708651,0.3839432739724123,0.9980098938455364,0.33146072670275384,0.11374859528031482,0.4785373949299847,0.04861936953361984,0.29281262575856715,,0.35125790093484427,,0.5828107728702769,0.7833677443637048,0.6277885431179613,,0.08584496627282576,0.3974330027728071,0.13777811393613823,0.48485713977406286,0.805957693833305,0.5167160224336971,,0.4739539259529466,0.029325372321825832,0.6101164754376702,,0.11272496497811688,0.41903663127843505,0.4355388384658619,0.7202892906122808,0.2799574243199204,0.09784036011237607,0.7873781492664124,0.4107185345810519,,0.8564135135110585,0.6457670907342763,12,12,hde-OM1-3,Engine,hde,
579,0,0.5794959307489383,1.8498676034802832,0.6229639240817477,0.32766040084897663,,1.6348651886687684,0.666232226600105,0.6037742851590245,1.624005881176821,0.8761421963254814,1.5084296126124381,0.21867962783530487,0.5502416695151855,0.7041790402516785,1.4342618189651244,0.7327812210642566,0.5064366062978045,1.707810875604406,,0.5581863946815299,,1.4844675474362772,0.5302410114418254,0.42875979162006916,0.7748563334620598,0.8862898601599004,,0.19637029393001784,3.0,,0.0,1.0,,0.6712380128025651,0.19413133794910822,,1.6995568849529483,0.623771732983977,0.32538790635476594,0.36696393830870794,0.29928217862275547,,,0.7654462142046977,,1.6116551610388947,0.7556057749180952,0.3994388297336978,1.8475523169107655,0.3927996899065185,,,0.6091862103258281,0.7480223677873726,0.8204803098879276,1.9916775454871596,0.5273399999190549,0.49665724852068566,0.28302505059924354,0.8557012754821413,0.7529023901480326,0.21818532175312366,,0.4478917349066005,1.0,0.8567012187238092,,0.4192858789520649,0.3875411888488219,,0.5868651083030815,,0.49828470431354505,,,1.3902670094283167,0.4894946238181445,0.9279337827126812,0.3574830059228376,1.7201604302626081,0.5216484885755777,2.8788589438601173,0.47600001684671583,,0.3184883005244049,0.4235795012944099,0.15888235534703393,,0.8151929379340317,,0.18761925054643583,0.13847017955107796,1.3791452627071559,1.0,,0.3035951975700895,,1.3789305054603511,0.6595509683446638,0.7865254134252424,59,59,mde-OM3-6,Engine,mde,
423,40,,0.6258993271470087,0.41691815068202426,0.2511188285995203,,1.5199732981242846,,0.3013000082278227,1.3421652854929516,0.7431639702301067,1.2227835102752211,,0.4632266748812393,0.7263465592087847,1.9296403832445659,0.0,0.6444788208236608,1.4107287658858163,1.0782602382028226,0.2008790036903043,,,0.2123118516940577,0.14356627858798943,0.08292304986011831,0.6077768929394973,0.35733331910882477,0.3413346688107404,0.08276696436260778,1.4743381044537591,0.40124755919618965,0.38912955444629277,,0.6291137369154955,0.5845184612998381,,1.4637496332929516,0.1273852029034052,0.6886301590137839,0.7051955377970335,1.0,,0.7017041638577924,0.2076724065781503,0.6371104374683074,0.565340067001114,0.7013478756463867,0.5876759688261599,1.4456749673409095,0.5624242133175335,0.44112505493828597,,,0.14364924982190316,0.6220218089301698,1.3166767170662912,0.4329393224926178,,0.45046373488755,0.688873015856736,,0.7139006999771195,,0.5437988013424357,0.046694632551933415,0.6006957140653874,,0.5692224651902063,0.48849731934344315,0.15913765465880003,0.709829995202889,0.33189729876051216,0.8342609977297217,,0.622059100319004,0.7381237011562325,0.8517061315718805,0.42162089251578627,0.3247418407843972,,,,0.3007631015127599,,0.40918886415310807,,0.11647464243246086,0.7040074531279022,,0.47425802771632475,0.6000734028888738,0.6523834135396382,1.5695930378610694,0.5961585751805784,0.7354585242114716,0.8297704818275284,0.1294536671439334,0.07709701497077678,,0.36051069100324296,56,56,mde-OM1-4,Engine,mde,
543,58,0.3856861608497736,1.412843984389505,0.6555987389818572,0.2435720486558549,,,0.5053173768627116,0.6012490429036856,1.1438537715793684,0.38665039981768473,1.2792691060933064,0.8607872875369192,0.4552062075959711,0.36250537391289916,,0.0,0.6991002496908096,1.2422057385318843,,0.5443607581458833,,1.7545348704530115,0.294852466169814,0.47335674765821123,1.0,0.5925096868144912,,0.3097525031411616,1.4322577329590733,1.8937016788761665,0.9141927899203366,0.4173416631040264,,0.38427688368712015,0.25951268924891346,,1.4486377541281565,0.4343850852016981,0.20670306306951894,,0.5214300694448109,,,0.27991731370613077,,0.8711792864937584,0.3992783338101997,0.4750322177379148,1.5554754398674402,0.5173023749690647,,0.4185326238410922,,0.4994790856658716,0.15910940195214882,1.055199727024208,,0.6694541311073811,0.6800066327279268,0.2038676620285573,0.4492808393968207,0.7027535702105622,,0.42489749290375356,0.7434171996797359,,,0.7829944483767027,0.5837608553416805,0.23565999027513018,,0.506329443493813,0.17407146802971332,0.3078586373195874,,1.0753925478106463,0.10728026571077598,0.12195021920893778,0.5158807705888285,,0.0,2.198904803024904,0.4212144957761441,,0.8030649167811109,0.39159054680058863,0.4840658360824211,0.25091039698055073,0.6406431118503915,0.6882765971332522,0.001859372509604676,0.39844283762275146,1.5864162566618352,0.0,,0.16768297323634263,0.7740206025660932,,0.3740517682573793,,44,44,mde-OM3-4,Engine,mde,
270,35,0.5934813663471034,,,1.0,,1.237122690927989,0.21507539836811274,0.42572529254618113,1.6122647519416051,0.712720191688862,1.0654690000268459,0.37751079164542367,0.5991733444563478,0.3219821521274623,,0.8112840857923538,0.20410801393057854,0.7441944434677235,1.8009261775426217,,0.4410018990990266,,0.4350532650586946,,,0.13726684982509002,,0.8001859179383173,0.3266396739759294,1.7293138972200177,0.5632733799070039,0.6368470155797172,0.09176164494154107,0.3807518226178584,0.2730738449572739,,1.4420995785882609,0.7633184285257412,0.5091056159231642,0.3614544374885644,0.443771562179253,,,0.41784174498338644,0.47718041581344806,0.19817233884390067,0.6370155683382215,0.06628900032624774,0.737828175384132,,0.11350463542959716,0.365872995471529,0.6534111135251529,0.4964823107928947,,1.4918858271704736,0.6667665369231022,,0.4323244523690343,,0.5712417539212471,,0.2923762756600149,0.5860161166910016,,0.5791906155427319,0.9239778730626901,0.4192831166028416,0.805375978733681,0.5942344651068914,0.9575234444644913,0.8698270401572094,0.0,,0.43517852839228877,,0.44147420602045534,0.5660777288619193,0.5930283606446823,,1.0,1.3801486574327995,0.4825332489588996,0.407004908257869,0.46378353333168437,0.918837133210012,,0.8244851604521133,0.6830455022949515,0.8096005521931421,0.26527931883991346,,1.1176365879110386,0.48837233810603675,,0.6899085917521202,0.3128664907240535,0.5242973473014537,0.588486019348548,0.6118092113060104,49,49,hde-OM3-3,Engine,hde,
