Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,1,0.42333333333333334,1.0,1,0.1,0.2,0.7
SPH+CPI,2,0.58,1.2701149425287357,1,0.1,0.2,0.7
SPH+CPI,3,0.65,1.4564102564102563,1,0.1,0.2,0.7
SPH+CPI,4,0.6933333333333334,1.6153846153846154,1,0.1,0.2,0.7
SPH+CPI,5,0.7233333333333334,1.7557603686635945,1,0.1,0.2,0.7
SPH+CPI,6,0.7433333333333333,1.8699551569506727,1,0.1,0.2,0.7
SPH+CPI,7,0.7633333333333333,2.004366812227074,1,0.1,0.2,0.7
SPH+CPI,8,0.7766666666666666,2.107296137339056,1,0.1,0.2,0.7
SPH+CPI,9,0.79,2.2236286919831225,1,0.1,0.2,0.7
SPH+CPI,10,0.8033333333333333,2.3526970954356847,1,0.1,0.2,0.7
SPH+CPI,1,0.42333333333333334,1.0,1,0.1,0.2,0.75
SPH+CPI,2,0.58,1.2701149425287357,1,0.1,0.2,0.75
SPH+CPI,3,0.65,1.4564102564102563,1,0.1,0.2,0.75
SPH+CPI,4,0.6933333333333334,1.6153846153846154,1,0.1,0.2,0.75
SPH+CPI,5,0.7233333333333334,1.7557603686635945,1,0.1,0.2,0.75
SPH+CPI,6,0.7433333333333333,1.8699551569506727,1,0.1,0.2,0.75
SPH+CPI,7,0.7633333333333333,2.004366812227074,1,0.1,0.2,0.75
SPH+CPI,8,0.7766666666666666,2.107296137339056,1,0.1,0.2,0.75
SPH+CPI,9,0.79,2.2236286919831225,1,0.1,0.2,0.75
SPH+CPI,10,0.8033333333333333,2.3526970954356847,1,0.1,0.2,0.75
SPH+CPI,1,0.41,1.0,1,0.1,0.2,0.8
SPH+CPI,2,0.5533333333333333,1.2590361445783131,1,0.1,0.2,0.8
SPH+CPI,3,0.65,1.5179487179487179,1,0.1,0.2,0.8
SPH+CPI,4,0.6833333333333333,1.6390243902439023,1,0.1,0.2,0.8
SPH+CPI,5,0.7,1.7190476190476192,1,0.1,0.2,0.8
SPH+CPI,6,0.7133333333333334,1.7990654205607477,1,0.1,0.2,0.8
SPH+CPI,7,0.7333333333333333,1.940909090909091,1,0.1,0.2,0.8
SPH+CPI,8,0.7333333333333333,1.940909090909091,1,0.1,0.2,0.8
