Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH,1,0.5,1.0,1,0.35,,
SPH,2,0.6233333333333333,1.1978609625668448,1,0.35,,
SPH,3,0.7,1.3952380952380952,1,0.35,,
SPH,4,0.74,1.5360360360360361,1,0.35,,
SPH,5,0.7633333333333333,1.6419213973799127,1,0.35,,
SPH,6,0.78,1.735042735042735,1,0.35,,
SPH,7,0.79,1.8016877637130801,1,0.35,,
SPH,8,0.8033333333333333,1.904564315352697,1,0.35,,
SPH,9,0.8166666666666667,2.020408163265306,1,0.35,,
SPH,10,0.8233333333333334,2.08502024291498,1,0.35,,
SPH+CPI,1,0.49666666666666665,1.0,1,0.35,0.4,0.85
SPH+CPI,2,0.62,1.1989247311827957,1,0.35,0.4,0.85
SPH+CPI,3,0.6866666666666666,1.3737864077669903,1,0.35,0.4,0.85
SPH+CPI,4,0.7333333333333333,1.540909090909091,1,0.35,0.4,0.85
SPH+CPI,5,0.76,1.662280701754386,1,0.35,0.4,0.85
SPH+CPI,6,0.78,1.7735042735042734,1,0.35,0.4,0.85
SPH+CPI,7,0.7933333333333333,1.861344537815126,1,0.35,0.4,0.85
SPH+CPI,8,0.8066666666666666,1.962809917355372,1,0.35,0.4,0.85
SPH+CPI,9,0.82,2.0772357723577235,1,0.35,0.4,0.85
SPH+CPI,10,0.8266666666666667,2.1411290322580645,1,0.35,0.4,0.85
RF,1,0.4033333333333333,1.0,1,,,
RF,2,0.5433333333333333,1.2576687116564418,1,,,
RF,3,0.61,1.4480874316939891,1,,,
RF,4,0.6633333333333333,1.6532663316582914,1,,,
RF,5,0.71,1.8732394366197183,1,,,
RF,6,0.75,2.0933333333333333,1,,,
RF,7,0.7833333333333333,2.302127659574468,1,,,
RF,8,0.79,2.350210970464135,1,,,
RF,9,0.8066666666666666,2.487603305785124,1,,,
RF,10,0.8233333333333334,2.639676113360324,1,,,
RF+B,1,0.38333333333333336,1.0,1,,,
RF+B,2,0.5566666666666666,1.311377245508982,1,,,
RF+B,3,0.64,1.53125,1,,,
RF+B,4,0.6833333333333333,1.6878048780487804,1,,,
RF+B,5,0.7133333333333334,1.8271028037383177,1,,,
RF+B,6,0.7433333333333333,1.9955156950672646,1,,,
RF+B,7,0.76,2.1052631578947367,1,,,
RF+B,8,0.78,2.2564102564102564,1,,,
RF+B,9,0.7866666666666666,2.3135593220338984,1,,,
RF+B,10,0.8,2.441666666666667,1,,,
CPI,1,0.3566666666666667,1.0,1,,0.4,0.85
CPI,2,0.48,1.2569444444444444,1,,0.4,0.85
CPI,3,0.56,1.505952380952381,1,,0.4,0.85
CPI,4,0.6,1.6722222222222223,1,,0.4,0.85
CPI,5,0.64,1.8802083333333333,1,,0.4,0.85
CPI,6,0.6766666666666666,2.103448275862069,1,,0.4,0.85
CPI,7,0.69,2.1980676328502415,1,,0.4,0.85
CPI,8,0.7033333333333334,2.308056872037915,1,,0.4,0.85
CPI,9,0.72,2.462962962962963,1,,0.4,0.85
CPI,10,0.75,2.7644444444444445,1,,0.4,0.85
