Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,1,0.19,1.0,1,0.1,0.2,0.7
SPH+CPI,2,0.29,1.3448275862068966,1,0.1,0.2,0.7
SPH+CPI,3,0.36333333333333334,1.6788990825688073,1,0.1,0.2,0.7
SPH+CPI,4,0.43333333333333335,2.0538461538461537,1,0.1,0.2,0.7
SPH+CPI,5,0.48,2.3402777777777777,1,0.1,0.2,0.7
SPH+CPI,6,0.52,2.621794871794872,1,0.1,0.2,0.7
SPH+CPI,7,0.5533333333333333,2.8855421686746987,1,0.1,0.2,0.7
SPH+CPI,8,0.57,3.0350877192982457,1,0.1,0.2,0.7
SPH+CPI,9,0.6133333333333333,3.4565217391304346,1,0.1,0.2,0.7
SPH+CPI,10,0.64,3.7291666666666665,1,0.1,0.2,0.7
SPH+CPI,1,0.18,1.0,1,0.1,0.2,0.75
SPH+CPI,2,0.28,1.3571428571428572,1,0.1,0.2,0.75
SPH+CPI,3,0.3566666666666667,1.7102803738317758,1,0.1,0.2,0.75
SPH+CPI,4,0.43,2.10077519379845,1,0.1,0.2,0.75
SPH+CPI,5,0.47,2.347517730496454,1,0.1,0.2,0.75
SPH+CPI,6,0.5133333333333333,2.655844155844156,1,0.1,0.2,0.75
SPH+CPI,7,0.5433333333333333,2.895705521472393,1,0.1,0.2,0.75
SPH+CPI,8,0.57,3.134502923976608,1,0.1,0.2,0.75
SPH+CPI,9,0.61,3.519125683060109,1,0.1,0.2,0.75
SPH+CPI,10,0.64,3.8229166666666665,1,0.1,0.2,0.75
SPH+CPI,1,0.17333333333333334,1.0,1,0.1,0.2,0.8
SPH+CPI,2,0.27,1.3580246913580247,1,0.1,0.2,0.8
SPH+CPI,3,0.3433333333333333,1.7087378640776698,1,0.1,0.2,0.8
SPH+CPI,4,0.4166666666666667,2.112,1,0.1,0.2,0.8
SPH+CPI,5,0.4533333333333333,2.3455882352941178,1,0.1,0.2,0.8
SPH+CPI,6,0.49666666666666665,2.664429530201342,1,0.1,0.2,0.8
SPH+CPI,7,0.5233333333333333,2.8853503184713376,1,0.1,0.2,0.8
SPH+CPI,8,0.5433333333333333,3.0736196319018405,1,0.1,0.2,0.8
SPH+CPI,9,0.59,3.542372881355932,1,0.1,0.2,0.8
SPH+CPI,10,0.6233333333333333,3.8877005347593583,1,0.1,0.2,0.8
SPH+CPI,1,0.17333333333333334,1.0,1,0.1,0.2,0.85
SPH+CPI,2,0.27,1.3580246913580247,1,0.1,0.2,0.85
