Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH,1,0.36666666666666664,1.0,1,0.35,,
SPH,2,0.55,1.3333333333333333,1,0.35,,
SPH,3,0.6533333333333333,1.596938775510204,1,0.35,,
SPH,4,0.72,1.8194444444444444,1,0.35,,
SPH,5,0.7566666666666667,1.973568281938326,1,0.35,,
SPH,6,0.7666666666666667,2.026086956521739,1,0.35,,
SPH,7,0.7833333333333333,2.1319148936170214,1,0.35,,
SPH,8,0.7933333333333333,2.2058823529411766,1,0.35,,
SPH,9,0.8066666666666666,2.3181818181818183,1,0.35,,
SPH,10,0.8166666666666667,2.4122448979591837,1,0.35,,
SPH+CPI,1,0.38666666666666666,1.0,1,0.35,0.4,0.85
SPH+CPI,2,0.55,1.2969696969696969,1,0.35,0.4,0.85
SPH+CPI,3,0.6566666666666666,1.5736040609137056,1,0.35,0.4,0.85
SPH+CPI,4,0.7233333333333334,1.7972350230414746,1,0.35,0.4,0.85
SPH+CPI,5,0.7566666666666667,1.9383259911894273,1,0.35,0.4,0.85
SPH+CPI,6,0.77,2.0086580086580086,1,0.35,0.4,0.85
SPH+CPI,7,0.79,2.1350210970464136,1,0.35,0.4,0.85
SPH+CPI,8,0.8066666666666666,2.256198347107438,1,0.35,0.4,0.85
SPH+CPI,9,0.8133333333333334,2.3114754098360657,1,0.35,0.4,0.85
SPH+CPI,10,0.8166666666666667,2.342857142857143,1,0.35,0.4,0.85
RF,1,0.30666666666666664,1.0,1,,,
RF,2,0.4666666666666667,1.3428571428571427,1,,,
RF,3,0.57,1.6432748538011697,1,,,
RF,4,0.6366666666666667,1.8900523560209423,1,,,
RF,5,0.7033333333333334,2.184834123222749,1,,,
RF,6,0.7233333333333334,2.2903225806451615,1,,,
RF,7,0.75,2.457777777777778,1,,,
RF,8,0.7766666666666666,2.648068669527897,1,,,
RF,9,0.79,2.7552742616033754,1,,,
RF,10,0.8,2.845833333333333,1,,,
RF+B,1,0.29,1.0,1,,,
RF+B,2,0.44666666666666666,1.3507462686567164,1,,,
RF+B,3,0.53,1.610062893081761,1,,,
RF+B,4,0.61,1.9234972677595628,1,,,
RF+B,5,0.7166666666666667,2.3813953488372093,1,,,
RF+B,6,0.7333333333333333,2.463636363636364,1,,,
RF+B,7,0.76,2.6228070175438596,1,,,
RF+B,8,0.7833333333333333,2.782978723404255,1,,,
RF+B,9,0.8,2.9125,1,,,
RF+B,10,0.8166666666666667,3.057142857142857,1,,,
CPI,1,0.2733333333333333,1.0,1,,0.4,0.85
CPI,2,0.44,1.378787878787879,1,,0.4,0.85
CPI,3,0.51,1.6013071895424837,1,,0.4,0.85
CPI,4,0.56,1.8154761904761905,1,,0.4,0.85
CPI,5,0.6033333333333334,2.044198895027624,1,,0.4,0.85
CPI,6,0.6366666666666667,2.25130890052356,1,,0.4,0.85
CPI,7,0.67,2.487562189054726,1,,0.4,0.85
CPI,8,0.6833333333333333,2.5951219512195123,1,,0.4,0.85
CPI,9,0.7266666666666667,2.977064220183486,1,,0.4,0.85
CPI,10,0.74,3.1036036036036037,1,,0.4,0.85
