,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,marker
389,6,,0.39562189002282167,0.5326954083467851,0.8756632009854491,,1.369773735593735,,0.4640195277750889,1.5180604527832147,0.5568067320879726,1.4020056389567754,0.22123319944251868,0.23524001919016888,0.26388081433522936,1.583572556849512,0.9390072348041926,0.3436595364168365,1.3494858324134702,1.6316475553801955,1.0,,1.858073981136989,,0.4667770791727403,0.7390187610232501,0.3432524767258504,0.34926296481974634,0.6897302975340697,0.6969287040909936,1.7415007155190374,0.07235884022943741,0.531131046324273,,0.6038760249750205,0.4432201513758811,,1.1320058273730635,0.541225261703769,0.6175756347541042,0.24533992538994315,0.5658983948404603,,0.46071950978702786,0.7177360703572879,0.5113370335441977,0.5203370929113005,0.2554487194847042,0.44664548117162395,1.2888266050353163,0.7666606448672546,0.5913367282850066,,,0.2646144901479178,,1.4312477219474706,0.8641053390010447,,0.5071872094391062,0.7234395674438661,,0.37538403639311935,,0.46138741221286567,0.9769892082821537,0.5011386736714553,,0.775172090738697,0.47541096727774007,0.41455091739977146,0.8189023756803385,0.3063908164711625,0.9189740624525236,,0.39570650110915495,0.24813234125100658,0.7699171762379364,0.47353572226311846,0.2948497555790995,,,,0.6368477186719286,,0.14306036450509838,,0.4065564629234104,0.5309045511170617,,0.5782903118219259,0.7072160309831291,0.4065584184592959,1.4059782869522637,0.6016086962752626,0.751173328353621,0.5107838580496993,0.8445606904674309,0.6058703451824474,,0.983641469933667,54,54,mde-OM1-4,Engine,mde,
339,37,,0.6020091836193795,0.0,0.764826718165739,,1.25779212897367,,0.5878265885807075,1.350052473651476,0.727654696851565,1.5659586869980715,0.46454916826548753,0.4777513030683419,0.49642301046200576,1.8309092974823922,0.6145199568193545,0.4731612091092123,1.8452441811250848,1.5228730634625842,0.30813392900490005,,,0.13817139261233388,0.43146189616823966,0.4884217397813795,,0.4355926557086962,0.3216126065066377,0.9245565248773862,1.4840028764548852,,0.5424934751764974,,0.16320354162798364,0.5156938375761442,,1.6340894593622646,0.2575471970195543,0.3189684367596996,0.13604148048689596,0.11044804120505111,,0.37635196908582585,0.11134856049173833,0.7136144802507238,0.5431719922593539,0.6893733773449119,0.7506857277213316,0.7430484848450022,0.2885262902031923,0.884096243880483,0.31763528246423045,,0.5922022508946938,0.5055980148512091,1.661320389439688,0.4915077767310765,0.1670392321264612,0.30090295037628,,,0.541726950083136,,,0.4294626266022907,0.6873708435139311,,,0.42795089548937043,0.14463763541783833,,0.7137099619079358,0.4344515071179952,,0.6680770418079276,0.6990059739805023,0.4335612755898698,0.3951323305696546,0.15795232035918896,1.5458851891315368,,,0.5940671989933157,,0.8178289533052405,,0.4848244848295201,0.7533940778243604,0.6003078669762335,0.6266837096414493,0.18430668481336066,0.42451887384041886,1.624426809901177,0.6990545517182138,0.3944883425517756,0.07143834565363193,0.5823340240607725,0.2878911691983936,0.44518018409541477,0.41611185497225534,51,51,mde-OM1-3,Engine,mde,
764,23,,1.6782987796134994,0.8127947427704137,0.9171861280024861,,1.560650812629511,0.599977794271175,1.7894130941077862,1.7225921324937215,0.4343006068038961,1.327701699740326,0.675807018822928,1.5345116339174583,0.3734699174512623,1.4771298119546108,,0.2579130191100042,1.5006336171279417,,0.5490254387008798,,1.663210704276735,0.39887560420810025,0.363953253264578,0.7172023427897621,0.41012855445183927,,0.4882041440314368,2.609600882752783,1.2915630066066743,,0.31417058954793825,,0.43222665238913616,0.2591279548143994,,1.6831662650370705,0.36551251499947335,0.6295285600187074,0.44184236941648813,0.3968682857230038,,,0.5484972985177247,,1.457094021210618,0.5234887208980811,0.36921166704081027,1.464937987959195,0.06745628562214198,,0.4679394191028016,0.5399993499242688,1.6114978475893382,,1.1855921762934898,,0.7034246160485652,0.4388777567534027,0.30825057467183364,0.3768371714136157,0.44346444577229144,,0.44143383178716755,0.4303144063206992,,,0.5654446060548246,0.47719282228057264,0.2539749953168803,0.6005989464193936,0.3331400412633817,0.3005329752011059,0.6941043968079688,,1.4155818294289642,0.4457070663980674,0.3725707285271642,0.3800740381083906,2.2062662333871557,0.2834388089480577,3.271479079845008,0.45308950273384313,,0.48063668956049543,0.5594847430303582,0.21862459727400832,1.631379239413821,0.3118582190043604,0.4856622699730958,0.6339176926922336,0.5489846341127893,1.2900407110311805,0.3766587147896229,,,0.6104255535976607,1.3196595729448468,0.9064831875895215,0.5158919832491907,80,80,mde-OM3-13,Engine,mde,
222,11,,,,0.6964042739777481,,1.0,0.5083570030160113,,0.4719654004892995,0.5576438857834213,1.0,0.7095704769526173,,0.24361033341290603,0.3757379312799893,0.7494111304036387,,,1.4530601292926197,0.9534076555283004,0.3527279029441757,1.6571578755445495,1.0,,0.2602754543860819,0.6346259564043529,,0.1470135202245026,0.19315172386721755,1.9489975732020424,0.2796600171762905,,0.22147539599169258,0.6841416270082649,0.3828904675268884,1.633361288050776,,0.7358841877950361,0.325807376354397,,0.6690070247192799,0.40797617922055707,0.11753249431525936,0.8957035859458071,0.6918353888925807,0.4994583301220759,0.19722119595376894,,,0.7801536952469476,0.8473802461907722,,0.24477275032118664,0.8517788300927174,,1.5466839776266421,0.044278474498356306,,0.008686763559362858,,0.0,,0.7994586045780566,0.7666941005048539,,,0.8299088693541311,,,0.7125725797898143,,0.886863312879095,0.3873595971467927,,0.6811739176420111,0.4794815223653367,1.0,1.0,0.3653281507328778,1.3068240771142192,0.04401152038228553,1.0,,0.8127516145757601,0.35141953621725713,0.0,0.7071881204168309,0.5319370184589407,0.8287231147317521,0.5707130614835753,0.6743935966168904,0.16975123004940404,0.0,,,0.3356173457257763,0.8194797551595351,0.8346904739277163,0.0,0.7077639984903397,48,48,hde-OM2-6,Engine,hde,
775,34,,1.404671639946283,0.6283559883803138,0.9119244428257748,,1.6097447562506817,0.7402426620526021,1.5070959783906583,1.4215169079763044,0.38660473078000496,1.1697294541474594,0.21489937486791402,1.4660322782639048,0.6690612779828109,1.377122411927682,,0.275786152572466,1.525192740229227,,0.8523110581531781,,1.3345390412227383,0.39886455889252637,0.6497919553442082,0.36844752495874766,,,0.6198554870791004,,1.2692680412820156,,0.522544492184301,,,0.5044225368737583,,1.3733091302968659,0.8269212651644184,0.7785969772179033,0.3070572292566222,0.6536959837405057,,,0.622782450370943,,1.619727049334032,0.4779881596888754,0.26201182332204537,1.4930912960781293,0.10027420545833712,,0.5569369515995758,0.3902062467329144,1.5953140710752334,0.5256637394051057,1.4097986680556178,,0.2373042818397736,0.4388824204606748,0.37513568213942555,0.6344748921590191,0.44860067445790297,,0.4903286846097835,0.49611102934754914,,,0.516846241351513,,0.3503470453677235,0.6714972968601594,0.5113717646884302,0.26597302061566225,0.4975526761455442,,1.345670004433022,0.5052385676676577,0.32875062996080556,0.41613578710156707,2.3884213466857647,0.5796709210939605,3.726908238132247,0.7747782723285556,,0.7025679085951186,0.27454402378639287,0.39156213304118553,1.496391068236325,0.5160760852555473,0.3790017215906506,0.3928551908671033,0.4650413931591575,1.687019751997826,0.35235450733477347,,0.4956510802783254,0.2697865936187197,1.8675794242620802,,0.7598576510668122,45,45,mde-OM3-13,Engine,mde,
17,7,0.5215489552886108,,0.34618429466379846,0.28713066977505625,,0.4589069732531857,,,0.5498440295475131,0.9449284632439086,0.2061503034497448,,0.40645268552107044,0.3528436670828529,0.8416165362024195,0.5018633125355374,0.0,0.0,0.2669464627264674,,0.7401961122787887,1.4136976164373272,0.44145941400217015,0.0,0.8583061978248485,,,0.5173697951734585,0.5551003148620219,0.7164137836094713,0.5478274816069335,0.600201353765608,0.036029875237731566,0.0020366810265524168,,,0.9956798825182898,0.3446870520434058,0.23765501974973424,0.458531494388775,0.10246880793962672,0.6118002433511582,0.6368675547054679,0.4323481752915855,0.4789184188141723,0.42660611559886524,0.5073049192544903,0.38703518446125235,,,0.4479536437653433,0.356390568827017,0.27652108089771626,0.24135007247793946,,1.354749143457051,1.0,,0.4908938935091667,,0.10630992715757674,,0.3122411611111068,0.1556096584708651,0.3839432739724123,0.9980098938455364,0.33146072670275384,0.11374859528031482,0.4785373949299847,0.04861936953361984,0.29281262575856715,,0.35125790093484427,,0.5828107728702769,0.7833677443637048,0.6277885431179613,,0.08584496627282576,0.3974330027728071,0.13777811393613823,0.48485713977406286,0.805957693833305,0.5167160224336971,,0.4739539259529466,0.029325372321825832,0.6101164754376702,,0.11272496497811688,0.41903663127843505,0.4355388384658619,0.7202892906122808,0.2799574243199204,0.09784036011237607,0.7873781492664124,0.4107185345810519,,0.8564135135110585,0.6457670907342763,12,12,hde-OM1-3,Engine,hde,
579,0,0.5794959307489383,1.8498676034802832,0.6229639240817477,0.32766040084897663,,1.6348651886687684,0.666232226600105,0.6037742851590245,1.624005881176821,0.8761421963254814,1.5084296126124381,0.21867962783530487,0.5502416695151855,0.7041790402516785,1.4342618189651244,0.7327812210642566,0.5064366062978045,1.707810875604406,,0.5581863946815299,,1.4844675474362772,0.5302410114418254,0.42875979162006916,0.7748563334620598,0.8862898601599004,,0.19637029393001784,3.0,,0.0,1.0,,0.6712380128025651,0.19413133794910822,,1.6995568849529483,0.623771732983977,0.32538790635476594,0.36696393830870794,0.29928217862275547,,,0.7654462142046977,,1.6116551610388947,0.7556057749180952,0.3994388297336978,1.8475523169107655,0.3927996899065185,,,0.6091862103258281,0.7480223677873726,0.8204803098879276,1.9916775454871596,0.5273399999190549,0.49665724852068566,0.28302505059924354,0.8557012754821413,0.7529023901480326,0.21818532175312366,,0.4478917349066005,1.0,0.8567012187238092,,0.4192858789520649,0.3875411888488219,,0.5868651083030815,,0.49828470431354505,,,1.3902670094283167,0.4894946238181445,0.9279337827126812,0.3574830059228376,1.7201604302626081,0.5216484885755777,2.8788589438601173,0.47600001684671583,,0.3184883005244049,0.4235795012944099,0.15888235534703393,,0.8151929379340317,,0.18761925054643583,0.13847017955107796,1.3791452627071559,1.0,,0.3035951975700895,,1.3789305054603511,0.6595509683446638,0.7865254134252424,59,59,mde-OM3-6,Engine,mde,
423,40,,0.4698984184256463,0.8370898267316615,0.3815794098834402,,1.2570835193324539,,0.10627162261157376,1.128780098843439,0.5815902899841332,1.6322937209654818,,0.4260089616767129,0.27551890362634435,1.4795897639420368,0.2550574713427763,0.2698571934476784,1.234718569812428,1.5679162054167506,0.5701617738563567,,,0.4908666429594061,0.23807063641733536,0.5906864392489813,0.6780583186424943,0.566314145535545,0.21958183942127912,0.5437490231345198,1.3821346409419315,0.7463294165846216,0.4269039345750223,,0.7290449150443008,0.821211561932393,,1.5063174699084678,0.5214923709453463,0.0631477367795961,0.6849203006845486,0.42086107863046096,,0.44258479557067615,0.40400735650079395,0.6371104374683074,0.10400207299836445,0.5814961853015463,0.29779584822637106,1.7243577893887059,0.5717529499274681,0.79316126364866,,,0.4102588900868238,0.4673594938207621,1.8182441289142197,0.8016528558147754,,0.5509133588305645,0.39974751452712326,,0.3729043881594306,,0.3228063880218441,0.10725555129630536,0.27270579770413983,,0.7644976007396366,0.5942397113380807,0.5609469711967183,0.4385896173770659,0.6918160676091792,0.6184974163776634,,0.7401760879525616,0.5967353053037131,0.5801453946238898,0.2736118873908618,0.2591691868955765,,,,0.2721808462146806,,0.6301900992575212,,0.5542060678315393,0.44787821330974437,,0.2580223710250094,0.2959259896244056,0.47617263473354676,1.366954452331541,0.3211772739847429,0.6205685765633795,0.5894935398400573,0.5640645822058119,0.5250063004105266,,0.7106723475705933,54,54,mde-OM1-4,Engine,mde,
543,58,1.0,1.412843984389505,0.21399716292457333,0.3045823304160653,,,0.7013820600922949,0.5563758743714282,1.6511196723000259,0.4162340448191454,1.2170516808747438,0.14691090181604524,0.393620133689532,0.3809645637139593,,0.4918489382673102,0.4447547618609714,1.6495440104655765,,0.155016028465064,,1.409755086082547,0.450308775230638,0.7070468098791806,0.26668537864498854,0.5336626765768221,,0.3856322876620481,1.4096451303260142,1.6304384499583815,0.8508272682084705,0.16985794957050884,,0.5513922101363926,0.8284344329711586,,1.4078832256108291,0.5456941227735898,0.9600468944606985,,0.0,,,0.7199225895216527,,0.4764780230269094,0.24239959514992027,0.134237867681634,1.0,0.05287216639710796,,0.3276300919756713,,0.11585198311741847,0.7100738891951656,1.5790794965658428,,0.7611023743798379,1.0,0.09336462997255025,0.7079192249744145,0.6970944642132273,,0.5194012899499775,0.6140602241146121,,,0.8625940740496308,0.0,1.0,,0.43881151820919256,0.4327426090622189,0.4855745038369003,,1.4621901048484096,0.6110600934294769,1.0,0.5277720250767505,,0.1572946276749793,2.4005977032988772,0.3977720359267,,1.0,0.43313639730245074,0.9053576385603749,0.5755021247328721,0.4949650465408595,0.3364216839179597,0.09292287669603623,0.6890856419480182,1.3985335657495455,0.48049500865880657,,0.09921334311018486,0.4550546287805569,,0.4557387523312612,,43,43,mde-OM3-4,Engine,mde,
270,35,0.5456612944297721,,,1.0,,1.237122690927989,0.1844151730385106,0.42572529254618113,1.602512987710854,0.7179889260963009,1.052270344150811,0.37672284000117084,0.5991733444563478,0.3219821521274623,,0.8112840857923538,0.20410801393057854,0.7205049090490326,1.8197852157829524,,0.4410018990990266,,0.3638067315736263,,,0.13726684982509002,,0.8001859179383172,0.22086025355726363,1.7055183514637005,0.6232809227904893,0.5144795117732369,0.09145415795589668,0.3807518226178584,0.2730738449572739,,1.4420995785882609,0.7633184285257412,0.5091056159231642,0.3614544374885644,0.36849880073555963,,,0.41784174498338644,0.5595202779380856,0.19817233884390067,0.6370155683382215,0.06353909410266372,0.728139564317002,,0.11350463542959716,0.4263242894316868,0.6042886207186975,0.4964823107928947,,1.4918858271704736,0.6667665369231022,,0.549841902224679,,0.5712417539212471,,0.2923762756600149,0.5468389820185138,,0.5266163626115327,0.9291247174080023,0.3989353110260542,0.805375978733681,0.5942344651068914,0.8287119811095145,0.8698270401572094,0.0,,0.43517852839228877,,0.38897511114325967,0.5660777288619193,0.5531235360279576,,1.0,1.3801486574327995,0.5135585026373232,0.407004908257869,0.46378353333168437,0.918837133210012,,0.8350446884450607,0.636786012224875,0.8096005521931421,0.26527931883991346,,1.1176365879110386,0.48837233810603664,,0.6895684788436288,0.4472677652329843,0.4479278957130814,0.588486019348548,0.5962003611306977,49,49,hde-OM3-3,Engine,hde,
