Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,1,0.5733333333333334,1.0,1,0.1,0.2,0.7
SPH+CPI,2,0.64,1.1041666666666667,1,0.1,0.2,0.7
SPH+CPI,3,0.6733333333333333,1.198019801980198,1,0.1,0.2,0.7
SPH+CPI,4,0.6866666666666666,1.2524271844660195,1,0.1,0.2,0.7
SPH+CPI,5,0.7133333333333334,1.3925233644859814,1,0.1,0.2,0.7
SPH+CPI,6,0.7266666666666667,1.4770642201834863,1,0.1,0.2,0.7
SPH+CPI,7,0.7333333333333333,1.5272727272727273,1,0.1,0.2,0.7
SPH+CPI,8,0.75,1.6711111111111112,1,0.1,0.2,0.7
SPH+CPI,9,0.7666666666666667,1.8304347826086957,1,0.1,0.2,0.7
SPH+CPI,10,0.7733333333333333,1.9008620689655173,1,0.1,0.2,0.7
SPH+CPI,1,0.57,1.0,1,0.1,0.2,0.75
SPH+CPI,2,0.6433333333333333,1.1139896373056994,1,0.1,0.2,0.75
SPH+CPI,3,0.6733333333333333,1.198019801980198,1,0.1,0.2,0.75
SPH+CPI,4,0.6933333333333334,1.2788461538461537,1,0.1,0.2,0.75
SPH+CPI,5,0.7033333333333334,1.3317535545023698,1,0.1,0.2,0.75
SPH+CPI,6,0.7166666666666667,1.4186046511627908,1,0.1,0.2,0.75
SPH+CPI,7,0.72,1.4444444444444444,1,0.1,0.2,0.75
SPH+CPI,8,0.7333333333333333,1.5636363636363637,1,0.1,0.2,0.75
SPH+CPI,9,0.76,1.8245614035087718,1,0.1,0.2,0.75
SPH+CPI,10,0.77,1.9307359307359306,1,0.1,0.2,0.75
SPH+CPI,1,0.5466666666666666,1.0,1,0.1,0.2,0.8
SPH+CPI,2,0.63,1.1322751322751323,1,0.1,0.2,0.8
SPH+CPI,3,0.6633333333333333,1.2261306532663316,1,0.1,0.2,0.8
SPH+CPI,4,0.6833333333333333,1.3073170731707318,1,0.1,0.2,0.8
SPH+CPI,5,0.7033333333333334,1.4123222748815165,1,0.1,0.2,0.8
SPH+CPI,6,0.72,1.5185185185185186,1,0.1,0.2,0.8
SPH+CPI,7,0.7266666666666667,1.5688073394495412,1,0.1,0.2,0.8
SPH+CPI,8,0.7333333333333333,1.6272727272727272,1,0.1,0.2,0.8
SPH+CPI,9,0.7566666666666667,1.854625550660793,1,0.1,0.2,0.8
SPH+CPI,10,0.77,1.9956709956709957,1,0.1,0.2,0.8
SPH+CPI,1,0.56,1.0,1,0.1,0.2,0.85
SPH+CPI,2,0.6233333333333333,1.1016042780748663,1,0.1,0.2,0.85
SPH+CPI,3,0.6533333333333333,1.1887755102040816,1,0.1,0.2,0.85
SPH+CPI,4,0.68,1.2990196078431373,1,0.1,0.2,0.85
SPH+CPI,5,0.6966666666666667,1.38755980861244,1,0.1,0.2,0.85
SPH+CPI,6,0.7166666666666667,1.5162790697674418,1,0.1,0.2,0.85
SPH+CPI,7,0.7266666666666667,1.591743119266055,1,0.1,0.2,0.85
SPH+CPI,8,0.7333333333333333,1.65,1,0.1,0.2,0.85
SPH+CPI,9,0.7633333333333333,1.9388646288209608,1,0.1,0.2,0.85
SPH+CPI,10,0.7733333333333333,2.043103448275862,1,0.1,0.2,0.85
SPH+CPI,1,0.5333333333333333,1.0,1,0.1,0.2,0.9
SPH+CPI,2,0.5833333333333334,1.0857142857142856,1,0.1,0.2,0.9
SPH+CPI,3,0.6366666666666667,1.2460732984293195,1,0.1,0.2,0.9
SPH+CPI,4,0.6566666666666666,1.3299492385786802,1,0.1,0.2,0.9
SPH+CPI,5,0.6733333333333333,1.4207920792079207,1,0.1,0.2,0.9
SPH+CPI,6,0.71,1.6572769953051643,1,0.1,0.2,0.9
