Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH,1,0.62,1.0,1,0.3,,
SPH,2,0.6633333333333333,1.065326633165829,1,0.3,,
SPH,3,0.7133333333333334,1.2009345794392523,1,0.3,,
SPH,4,0.72,1.2268518518518519,1,0.3,,
SPH,5,0.7433333333333333,1.345291479820628,1,0.3,,
SPH,6,0.7533333333333333,1.407079646017699,1,0.3,,
SPH,7,0.77,1.5281385281385282,1,0.3,,
SPH,8,0.7733333333333333,1.5560344827586208,1,0.3,,
SPH,9,0.7733333333333333,1.5560344827586208,1,0.3,,
SPH,10,0.79,1.7341772151898733,1,0.3,,
SPH+CPI,1,0.6233333333333333,1.0,1,0.3,0.4,0.8
SPH+CPI,2,0.6733333333333333,1.0742574257425743,1,0.3,0.4,0.8
SPH+CPI,3,0.7133333333333334,1.1822429906542056,1,0.3,0.4,0.8
SPH+CPI,4,0.7266666666666667,1.2339449541284404,1,0.3,0.4,0.8
SPH+CPI,5,0.7566666666666667,1.3832599118942732,1,0.3,0.4,0.8
SPH+CPI,6,0.7633333333333333,1.4235807860262009,1,0.3,0.4,0.8
SPH+CPI,7,0.7766666666666666,1.51931330472103,1,0.3,0.4,0.8
SPH+CPI,8,0.78,1.547008547008547,1,0.3,0.4,0.8
SPH+CPI,9,0.7866666666666666,1.6101694915254237,1,0.3,0.4,0.8
SPH+CPI,10,0.7966666666666666,1.715481171548117,1,0.3,0.4,0.8
RF,1,0.55,1.0,1,,,
RF,2,0.6166666666666667,1.1081081081081081,1,,,
RF,3,0.6633333333333333,1.2412060301507537,1,,,
RF,4,0.69,1.3478260869565217,1,,,
RF,5,0.7066666666666667,1.4339622641509433,1,,,
RF,6,0.7333333333333333,1.6,1,,,
RF,7,0.76,1.7894736842105263,1,,,
RF,8,0.7733333333333333,1.896551724137931,1,,,
RF,9,0.7833333333333333,1.9872340425531916,1,,,
RF,10,0.7933333333333333,2.088235294117647,1,,,
RF+B,1,0.5566666666666666,1.0,1,,,
RF+B,2,0.6,1.0722222222222222,1,,,
RF+B,3,0.6633333333333333,1.256281407035176,1,,,
RF+B,4,0.6933333333333334,1.375,1,,,
RF+B,5,0.7233333333333334,1.5253456221198156,1,,,
RF+B,6,0.74,1.6261261261261262,1,,,
RF+B,7,0.7666666666666667,1.8130434782608695,1,,,
RF+B,8,0.7866666666666666,1.9703389830508475,1,,,
RF+B,9,0.79,2.0,1,,,
RF+B,10,0.8066666666666666,2.165289256198347,1,,,
CPI,1,0.5466666666666666,1.0,1,,0.4,0.8
CPI,2,0.6133333333333333,1.108695652173913,1,,0.4,0.8
CPI,3,0.64,1.1875,1,,0.4,0.8
CPI,4,0.6633333333333333,1.2864321608040201,1,,0.4,0.8
CPI,5,0.6833333333333333,1.395121951219512,1,,0.4,0.8
CPI,6,0.6966666666666667,1.4832535885167464,1,,0.4,0.8
CPI,7,0.71,1.5868544600938967,1,,0.4,0.8
CPI,8,0.7366666666666667,1.8190045248868778,1,,0.4,0.8
CPI,9,0.7566666666666667,2.0088105726872247,1,,0.4,0.8
CPI,10,0.7766666666666666,2.2145922746781115,1,,0.4,0.8
