,index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target,noisy target,group,level-0,level-1,marker
389,6,,0.35384939135916427,0.2875526863020934,0.32300592787948,,1.682061288545025,,0.5335347425244004,1.4808895877032442,0.5918099884024677,1.207984689821731,0.8018248093757127,0.3912400674658306,0.7838511613180904,1.6390698461887894,0.3317712392886057,0.020012362526013943,1.411919231509971,1.4718662575642898,0.397127497942397,,1.2499523360369627,,0.0,0.7430324966991166,0.5445633932120667,0.04603465336719845,0.49616572805516906,0.6854166488827783,1.0974156098147487,0.42608794405158895,0.4816060826070372,,0.6139075704990488,0.6052221768169389,,1.7240470166493556,0.21634025738292811,0.594390570307433,0.5298930421600245,0.4619811805996036,,0.23505447719818537,0.8378829565922717,0.5113370335441977,0.2781614223088071,0.7112052728297756,0.6119910952829772,1.6582148645953363,0.32087589111060644,0.06704974529986903,,,0.0,,1.6687451233711812,0.4962804722179844,,0.6253989699904721,0.7724072702280772,,0.4488082525550362,,0.33393998604977354,0.3437818906499877,0.5428164647402033,,0.36170033786318745,0.4842991299112147,0.1896027874557206,0.21799118013629634,0.5434280348575823,0.541831697014072,,1.0,0.18129865993162306,0.20657911132875703,0.3180924652330947,0.6013305542887999,,,,0.47829229424028286,,0.6403803143640647,,0.4897120434451844,1.0,,0.604710143228246,0.3836536508595345,0.5736455732058007,1.6386409430612887,0.48524930250119436,0.3304961005778938,0.5548960110993799,0.7790920248504167,0.6658403694386829,,0.3785135415511829,59,59,mde-OM1-4,Engine,mde,
339,37,,0.6475172304863818,0.37601551561246455,0.7907627732653993,,1.8557251152661534,,0.6207072136558844,1.1863259793539631,0.5084224834708563,1.5458438962284204,0.5086475695595052,1.0,0.501200154128766,1.375472038427323,0.8653623801240007,0.670118083203585,1.5605091941153628,1.4799319794220795,0.1954610473695375,,,0.5410562403463157,0.48971941008662506,0.42680625186819615,,0.6285752395457873,0.6678613596114272,0.7065163177521808,1.3740465683331138,,0.21588585463824342,,0.7660655130439942,0.640416756486031,,1.059740946010727,0.4904901525140429,0.37818859579946823,0.744197738714521,0.44041916569223677,,0.2654943287672989,0.5848724418305028,0.15112251033437724,0.7670586075761402,0.6048862467135621,0.6293500144619066,0.4628753064761875,0.547657819873493,0.4814033114851859,0.40468775986671846,,0.6090027169374755,1.0,1.1799978915379752,0.5208878049551768,0.8603852242656547,0.7998772685554306,,,0.0,,,0.6268024899412898,0.6789509843681845,,,0.6492661771967649,0.5724248956980044,,0.35658475932396505,0.6425742467943072,,0.5905640256781713,0.9986142126565706,0.5027567570349118,0.5849357624637799,0.32423213488725805,1.4307919513875562,,,1.0,,0.6095696254828996,,0.7822490536386736,0.8016607672744812,0.6867824382923667,0.6930229530036253,0.9109985392410138,0.8370975791244563,1.6263792063822335,0.5990325724474614,0.3208168021997117,0.28550579340814325,0.3637093053409083,0.2878911691983936,0.653844804195433,0.6199650003750706,43,43,mde-OM1-3,Engine,mde,
764,23,,1.6231002863731545,0.46544296624440323,0.6159910015410932,,1.624183463598138,0.3418819714346532,1.604025344524163,1.5460885575002,0.5150832798218983,1.4255769652551133,0.3225220181834769,1.022226232760763,0.5271030252092778,1.3401017136034699,,0.7650620406819802,1.601833131364279,,0.6222620345058365,,1.693652662391008,0.4067206785983199,0.4922609424343467,0.3070433451647488,0.6271174903905874,,0.6628417587254517,2.5013105158492266,1.474620907839054,,0.5680135093492064,,0.0,0.340219058616023,,1.3426661698826297,0.24501620384606795,0.468621889486886,0.1930880709584751,0.5716094802400065,,,0.31816039942215757,,1.7165142582770465,0.46951491262052486,0.38352428917358367,1.9078017426558895,0.5827772194488846,,0.5539193709244133,0.3286256235218418,1.396011637369039,,1.773526223971932,,0.5158077657320974,0.5684891573711917,0.7150915625190071,0.3062635435052142,0.57793140231649,,0.5066300311759916,0.48830509222194596,,,0.24990444507732146,0.3942665071050288,0.061370392086117484,0.6025416180168327,0.6304941808243455,0.5375210975340751,0.4658710570761378,,1.4325995390098207,0.2931446942698924,0.2818148972063442,0.4716941238682915,2.5872307111645094,0.2834388089480577,3.648804016084224,0.7935615983804545,,0.46172504760038957,0.4147715235794025,0.6659241086815538,1.6503033435100032,0.2573984541854314,0.7831537763618579,0.5414909785615257,0.277358815562189,1.5195455800588733,0.593119029046713,,,0.15659157806574023,1.351215556838839,0.5889419867280681,0.34909366165502714,82,82,mde-OM3-13,Engine,mde,
222,11,,,,0.7569276206367096,,1.0,0.5047827838811515,,0.649447717206209,0.4991781166420925,1.0,0.5378150084060836,,0.4216225521437024,0.18682146505462363,0.6605928841139748,,,1.5887568177187217,0.9419668843633412,0.2960436261874489,1.613022842431049,0.6935346775533081,,0.14200808564538348,0.6288521202470059,,0.08471199540200486,0.17423964835152894,1.7809661817783047,0.39481453383370835,,0.26485038918901666,0.6067402096333944,0.4193449755208529,1.6609062513880681,,0.7376183520421814,0.12215793943544535,,0.7814270740214037,0.40797617922055707,0.07273860437539953,0.960472472770255,0.8140918245425437,0.34062763374279836,0.33494568549833825,,,0.8975982753239037,0.8464316683585261,,0.3446766238354291,0.6770537874170567,,1.6666392783443904,0.3988070862254622,,0.02290605352916295,,0.5002856152530566,,1.0,0.7122628304042543,,,0.8299088693541311,,,0.7058888037741358,,0.72141254960333,0.5816947806107533,,0.3990300164857414,0.43825008475824223,1.0,1.0,0.41674561941698024,1.3170921947673362,0.0,1.0,,0.8504285392124994,0.41911440455611054,0.18840140764833588,0.6444872487041555,0.3690572281369207,0.6150193496405856,0.5234644088669157,0.46282178038771127,0.45669210912164915,0.006025415132210178,,,0.5292298312751408,0.7580746419049105,0.8397789505066138,0.0,0.4537646017016097,48,48,hde-OM2-6,Engine,hde,
775,34,,1.7739849211070764,1.0,0.2515022166057662,,1.5980317481431356,0.34794536684262,1.1389342129199247,1.466635634008757,0.6698991596782877,1.5166043602102826,0.2006444744692969,1.7599293458708831,0.6025043653905091,1.5024635695405402,,0.10043416902917454,1.2210094376456817,,0.6837987899920565,,1.3333664862218864,0.2893533624602974,0.771852298791423,0.5160639416009766,,,0.9878599985595102,,1.2861637982303786,,0.4430705459144696,,,0.3183093398859452,,1.2424502522152767,0.8165860805877512,0.6904567867511083,0.4847576019947335,0.09983493539458697,,,0.4790894643872151,,1.4312057226525312,0.6285879686301745,0.5166978437822037,1.2829475144291123,0.8014314257459818,,0.2051235148465322,0.2928564466101433,1.5307491144097658,0.4385229844706961,1.6489708008436454,,0.5265832587224583,0.4747751051357953,0.293314616464818,0.29388210443273005,0.7493706660781746,,0.555543649502833,0.46067015390715776,,,0.3245146537317689,,0.5495149775747813,0.6793892951350626,0.43280973310676074,0.43965677144984444,0.6640168038238737,,1.5821642714025725,0.39956215615093904,0.5784583314823436,0.5141553094686832,2.3463271000154537,0.5796709210939605,3.770321451769316,0.409374731608637,,0.670963249809789,0.6034988834909314,0.5056678291030906,1.7699466286039225,0.10854885183711231,0.31213377746035076,0.6000734528581206,0.3164291043323502,1.3850872976922195,0.527036659559655,,0.4020909361838974,0.30428408867097073,1.4992273041051092,,0.3557076171061413,61,61,mde-OM3-13,Engine,mde,
17,7,0.5758885278336078,,0.4751843279458045,0.4239591886840768,,0.42212452379154447,,,0.5341215352486002,0.9308295625267794,0.043442163289188804,,0.40645268552107044,0.3660040967200767,1.0,0.41919230638870175,0.0,0.0005321979457908815,0.2734865747406385,,0.6419982190215129,1.3694356569633455,0.6391711784945886,0.026857072344928335,0.8170089383447301,,,0.5612813129897296,0.5071307626903085,0.6584238965755821,0.7369231335671222,0.5675492329589836,0.043967833141493884,0.10613702344840836,,,0.9560894752259391,0.2787121041974841,0.2376550197497343,0.3592699964358435,0.058128042554163754,0.5702733249807079,0.5965102194013306,0.4734586658637941,0.5576654918505853,0.4246018546413247,0.45269210662028736,0.400382936281983,,,0.5508854580806354,0.306340911887322,0.357357186463548,0.18483900653566515,,1.3767651617860928,1.0,,0.4908938935091667,,0.13040672030290176,,0.19361240587343934,0.15857403272289342,0.3287753077670245,0.8969469522906487,0.33146072670275384,0.10930256902824877,0.2710130442565653,0.15996409896991665,0.2980893724506632,,0.35125790093484427,,0.5467811446182287,0.7701275470685183,0.5674292628304038,,0.08584496627282576,0.3974330027728071,0.017262231896536986,0.48485713977406286,0.7925820720432205,0.45870108092919404,,0.4050730456956927,0.2754866167503856,0.6712438174513072,,0.04438731422035875,0.37983454355557417,0.4222842174579015,0.5466963752998125,0.2799574243199204,0.09784036011237607,0.6954198900194046,0.4107185345810519,,0.7306883898256679,0.5790449691766938,12,12,hde-OM1-3,Engine,hde,
579,0,0.3115048276745777,1.5867068478672448,0.46951363360658954,0.47053936657189505,,1.6628485374610862,0.5512148847195453,0.6526742163218748,1.520676922997556,0.7797990739974792,1.6892511697677866,0.1941916392766483,0.6571611466706219,0.8499074398412504,1.399166400839206,0.57581098069443,0.5392623586120541,1.8668909196648806,,0.5949805779321731,,1.5500660427690065,0.5447342773496119,0.49902092724841735,0.7874954749603068,0.864108212936798,,0.3408176187628107,2.8382482352357203,,0.0,0.915216360915525,,0.6712380128025651,0.1770506871913055,,1.7584977995095588,0.5261493566083553,0.2653321608093822,0.17244208253841592,0.4005047307189672,,,0.724436182812264,,1.561082150405583,0.8783031271704593,0.4366255782180023,1.7770954658112577,0.4654480080412675,,,0.7574316706077561,0.8214262215560796,0.7743105728635914,1.9029675008539066,0.46062876944905257,0.5882916775353288,0.414853873198311,0.7887438099962613,0.8431012964070249,0.05204537525378522,,0.4380567587592336,1.0,0.949784756244741,,0.1905952734229383,0.33330037703335397,,0.6501203192428398,,0.3768043558349422,,,1.4360960791397706,0.5124916536761766,1.0,0.5026443351647989,1.7500658865551244,0.47511700226555575,2.714108732604527,0.6563490794706888,,0.34320440891159304,0.28238500971657,0.16384134237269152,,0.8041932074805989,,0.46942579374131077,0.06624593064733077,1.5714797750775564,0.8507206546831257,,0.381627069126986,,1.4204998251005476,0.5642645260719574,0.6424503037672183,59,59,mde-OM3-6,Engine,mde,
423,40,,0.4545988862183957,0.24180227687444433,0.22548564306657706,,1.5632916287478589,,0.5784373421881771,1.1476437903011585,0.37788866928624154,1.0,,0.6764141427802984,0.7628975105301826,1.6059334315367795,0.8225800449592218,0.3545807533698217,1.5911487890158118,1.5769057376180178,0.16048090395172732,,,0.8091551774996141,0.4141174258801601,0.0,0.3845656439711452,0.04040459615025487,0.2854257386097542,0.02208824252921352,1.0628581730617708,0.6762295762140297,0.49107665343192825,,0.5721351539218206,0.4627362153255546,,1.408849046619546,0.551300456898994,0.8653914689769454,0.2725827136207211,0.3942693003533912,,0.01001044019591336,0.23473457214085608,0.6371104374683074,0.5481255197838169,0.20811235412813917,0.462329436509509,1.4115661210514772,0.20894763397245017,0.7934483485886387,,,0.5180339007580381,0.0,1.9219399266366222,0.46982738042290917,,0.5662611177460579,0.9140332526690497,,0.0,,0.5713237313397165,0.7350055959062006,0.41494859918923727,,0.7760418482558112,0.8254304387400283,0.34878575591357747,0.3617661365793799,0.5411098476497653,0.6505304075437043,,0.1878410126433242,0.5275643590232213,0.48769678666383937,0.0,0.7044079826305061,,,,0.12336087297049822,,0.16584775309752411,,0.658384219365624,0.5110977989795111,,0.48587313024974704,0.6634931621353203,0.6302812332853636,1.657766935781167,0.5650060065505049,0.7760049646703499,0.12445549988681176,0.450116392537842,0.5954872486588405,,0.3449320593544854,59,59,mde-OM1-4,Engine,mde,
543,58,0.3856861608497736,1.412843984389505,0.7514150013150384,0.2707221356490672,,,0.3785755071692874,0.6343209698315424,1.2725056961464598,0.4117888407238725,1.2548173980911506,0.8607307805226185,0.47988223206093605,0.2589268585639941,,0.0,0.5389840531489377,1.227820411886285,,0.5443607581458833,,1.7545348704530113,0.49322006433907073,0.47335674765821123,1.0,0.5702213779659334,,0.3237410229956323,1.5192230076287838,1.89151597512885,0.9141927899203366,0.4229846845235801,,0.3179934647029233,0.25951268924891346,,1.4680912170216005,0.4343850852016981,0.3884228423797365,,0.5698672907357881,,,0.27991731370613077,,0.8711792864937584,0.4009538696117035,0.43551974292930196,1.4389437604432027,0.5343374509524895,,0.563041434585537,,0.502711084410065,0.09436033394983044,1.0,,0.7031394473181489,0.613909688874167,0.22103595645323665,0.4553366899629602,0.7396161214805285,,0.42489749290375356,0.7796450764497778,,,0.6607068797815313,0.6990028831634277,0.23565999027513018,,0.5402077663378567,0.06708026026037985,0.38447248227955283,,1.0887336165988466,0.24186279738575264,0.10429407179692776,0.48744868639285704,,0.0,2.2166743682296906,0.47928759744934274,,0.6944928704046416,0.5233508828966826,0.43971695421755386,0.25542847906624816,0.6166090779628641,0.7655187442849709,0.00016502144013406172,0.47260413334175244,1.5864162566618352,0.0,,0.16664774774414354,0.8359722915874606,,0.43512175439417927,,44,44,mde-OM3-4,Engine,mde,
270,35,0.4474535729651461,,,0.536360178868623,,1.0,0.21267020746211543,0.6225930047907997,1.328293565903994,0.9649632896440391,1.6630492858701367,0.6191111651155272,0.6104147717200564,0.3624259370302626,,0.8969358457282346,0.8093806359376978,0.4252298875583977,1.2815156255666698,,0.4708524084193386,,0.43754718619881183,,,0.5525069318472517,,0.4205947576019974,0.9484661312935025,1.8029526333190784,0.5406666305333991,0.7594397317469864,0.4005378067803554,0.1284651351650552,0.7494182057354838,,1.1714273159155,0.310764122377491,0.5586428862407827,0.7568791712821815,0.3997866280306469,,,1.0,0.3748262543231788,0.4022623162493477,0.43798310896280823,1.0,0.8187543146802303,,0.47005885743086834,0.6277924028384612,0.964327541647066,0.9422113056065698,,1.3152928745049932,0.6667665369231022,,0.3360038523198285,,0.40629445318169205,,0.43299449978550497,0.913701532356852,,0.6713979438836256,0.8298135415000092,0.47790009060616906,1.0,0.34189229039211705,0.6553988010200175,1.0,0.2373442948323805,,0.8310728911383106,,0.5799478281528679,1.0,1.0,,0.6027733634372636,1.6076283474639352,0.389432068689125,0.641982150270857,0.1395557656723102,0.6146707239067003,,0.1410305207142805,0.8850982066377907,0.47738956598553556,0.7193538138173856,,1.454415150287208,0.5897450766250518,,1.0,1.0,0.8409708070501797,0.8444355528163343,0.35002432518005744,50,50,hde-OM3-3,Engine,hde,
