Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH,1,0.12666666666666668,1.0,1,0.35,,
SPH,2,0.19333333333333333,1.3448275862068966,1,0.35,,
SPH,3,0.2733333333333333,1.829268292682927,1,0.35,,
SPH,4,0.34,2.2549019607843137,1,0.35,,
SPH,5,0.3933333333333333,2.6271186440677967,1,0.35,,
SPH,6,0.44333333333333336,3.007518796992481,1,0.35,,
SPH,7,0.4866666666666667,3.363013698630137,1,0.35,,
SPH,8,0.5366666666666666,3.7950310559006213,1,0.35,,
SPH,9,0.57,4.099415204678363,1,0.35,,
SPH,10,0.5966666666666667,4.363128491620111,1,0.35,,
SPH+CPI,1,0.12666666666666668,1.0,1,0.35,0.3,0.7
SPH+CPI,2,0.19333333333333333,1.3448275862068966,1,0.35,0.3,0.7
SPH+CPI,3,0.2733333333333333,1.829268292682927,1,0.35,0.3,0.7
SPH+CPI,4,0.34,2.2549019607843137,1,0.35,0.3,0.7
SPH+CPI,5,0.3933333333333333,2.6271186440677967,1,0.35,0.3,0.7
SPH+CPI,6,0.44333333333333336,3.007518796992481,1,0.35,0.3,0.7
SPH+CPI,7,0.4866666666666667,3.363013698630137,1,0.35,0.3,0.7
SPH+CPI,8,0.5366666666666666,3.7950310559006213,1,0.35,0.3,0.7
SPH+CPI,9,0.57,4.099415204678363,1,0.35,0.3,0.7
SPH+CPI,10,0.5966666666666667,4.363128491620111,1,0.35,0.3,0.7
RF,1,0.11333333333333333,1.0,1,,,
RF,2,0.15666666666666668,1.2765957446808511,1,,,
RF,3,0.24333333333333335,1.8904109589041096,1,,,
RF,4,0.27666666666666667,2.144578313253012,1,,,
RF,5,0.32666666666666666,2.5816326530612246,1,,,
RF,6,0.36,2.8981481481481484,1,,,
RF,7,0.39666666666666667,3.277310924369748,1,,,
RF,8,0.42333333333333334,3.574803149606299,1,,,
RF,9,0.44666666666666666,3.8582089552238807,1,,,
RF,10,0.48,4.284722222222222,1,,,
RF+B,1,0.07,1.0,1,,,
RF+B,2,0.13,1.4615384615384615,1,,,
RF+B,3,0.17666666666666667,1.8679245283018868,1,,,
RF+B,4,0.23,2.36231884057971,1,,,
RF+B,5,0.2633333333333333,2.6962025316455698,1,,,
RF+B,6,0.29333333333333333,3.034090909090909,1,,,
RF+B,7,0.33,3.474747474747475,1,,,
RF+B,8,0.37333333333333335,4.0,1,,,
RF+B,9,0.4,4.333333333333333,1,,,
RF+B,10,0.42333333333333334,4.645669291338582,1,,,
CPI,1,0.06,1.0,1,,0.3,0.7
CPI,2,0.11333333333333333,1.4705882352941178,1,,0.3,0.7
CPI,3,0.16333333333333333,1.9387755102040816,1,,0.3,0.7
CPI,4,0.22,2.4696969696969697,1,,0.3,0.7
CPI,5,0.25333333333333335,2.8026315789473686,1,,0.3,0.7
CPI,6,0.31333333333333335,3.4148936170212765,1,,0.3,0.7
CPI,7,0.35333333333333333,3.8207547169811322,1,,0.3,0.7
CPI,8,0.4033333333333333,4.338842975206612,1,,0.3,0.7
CPI,9,0.43,4.627906976744186,1,,0.3,0.7
CPI,10,0.44666666666666666,4.8283582089552235,1,,0.3,0.7
